airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type,sentiment
AlaskaAir,9.61298E+17,Wed Feb 07 17:57:20 +0000 2018,FAPA Pilot Job Fair LAS 05/02 with @AlaskaAir @AtlasAirWW @airwisconsin @EmpireAir @EnvoyPilots @GamaAviation_usâ€_ https://t.co/Ol6qNu0FFz,3,8,en,,1043234730,,,,positive
AlaskaAir,9.61298E+17,Wed Feb 07 17:56:10 +0000 2018,@AlaskaAir Lame!,0,0,en,9.6123E+17,8.719E+17,,,,negative
AlaskaAir,9.61297E+17,Wed Feb 07 17:54:01 +0000 2018,.@AlaskaAir discloses #pay package details for new Horizon Air CEO https://t.co/2ZN77nJK2U #aviation https://t.co/NirDaCdRq8,0,0,en,,19560636,,,,neutral
AlaskaAir,9.61296E+17,Wed Feb 07 17:50:03 +0000 2018,RT @AviationISAC: Do you have a #cyber #nofly list? Jessica Ferguson of @AlaskaAir explains why you should. . . and gives a shout out to ISâ€_,4,0,en,,222701010,,,,neutral
AlaskaAir,9.61294E+17,Wed Feb 07 17:42:33 +0000 2018,@AlaskaAir How long do AS flights booked on VX metal take to credit to an account?,0,0,en,,312389644,,,,neutral
AlaskaAir,9.61294E+17,Wed Feb 07 17:41:33 +0000 2018,@kevinclosson @AlaskaAir Itâ€™s a good reason to get an upgrade !,0,1,en,9.61038E+17,31713726,,,,negative
AlaskaAir,9.61294E+17,Wed Feb 07 17:40:54 +0000 2018,@AlaskaAir @LulyYangCouture Admired it over the weekend. The new uniforms look fab!,0,0,en,9.61288E+17,14604864,US,Portland  OR,city,neutral
AlaskaAir,9.61293E+17,Wed Feb 07 17:36:33 +0000 2018,@AskTSA Iâ€™m flying @AlaskaAir from @flypdx to Palm Springs!,0,0,en,9.61292E+17,958502406,,,,neutral
AlaskaAir,9.61292E+17,Wed Feb 07 17:34:02 +0000 2018,Do you have a #cyber #nofly list? Jessica Ferguson of @AlaskaAir explains why you should. . . and gives a shout outâ€_ https://t.co/au5kf5Iubl,4,0,en,,2846636921,,,,neutral
AlaskaAir,9.61292E+17,Wed Feb 07 17:33:40 +0000 2018,@AlaskaAir @LulyYangCouture Wait  you forgot to include the new Timbers/Alaska Airlines jerseys! ;),0,1,en,9.61288E+17,119212573,,,,neutral
AlaskaAir,9.61291E+17,Wed Feb 07 17:30:59 +0000 2018,Get in ahead of coming storm at @MammothMountain  flights from $433 from Los Angeles  others  on @AlaskaAir!  https://t.co/0ozw9mG2Xc,0,0,en,,2193025381,,,,positive
AlaskaAir,9.6129E+17,Wed Feb 07 17:26:28 +0000 2018,Flew @AlaskaAir but didnâ€™t put my @British_Airways executive number in. How do I retrospectively get points?,0,0,en,,65941315,US,Seattle  WA,city,positive
